Speaker 1,Speaker 2,Text
Gilderoy Lockhart,Harry,"What are you talking about, Harry?
I think we're getting a bit
drowsy. Great Scott -- and no
wonder -- look at the time! We've
been here nearly four hours!
Dinner's nearly done! If you
hurry you might make pudding.
Spooky how the time flies when
one's having fun!"
Harry,Gilderoy Lockhart,Spooky.
Voice,Harry,Blood... I smell blood...
Voice,Harry,"Let me rip you... let me kill
you..."
Hermione,Harry,Harry!
Harry,Hermione,Did you hear it?
Ron,Harry,Hear what?
Harry,Ron,That... voice.
Hermione,Harry,Voice? What voice?
Harry,Hermione,"I heard it first in Lockhart's
office and then again, just --"
Voice,Harry,Kill... Time to kill...
Harry,Hermione,"It's moving. I think it's going
to... kill."
Ron,Harry,"Harry, what are you doing?"
Harry,Harry,"The Chamber of Secrets has been
opened...?'"
Ron,Harry,What's that? Hanging underneath?
Harry,Ron,That's Filch's cat. Mrs. Norris.
Hermione,Ron,"Look at that. Have you ever seen
spiders act like that? Ron...?"
Ron,Hermione,I... don't... like... spiders.
Draco,Ron,"Enemies of the heir, beware!
You'll be next, Mudbloods!"
Filch,Students,"What's going on here? Go on now!
Make way...

Mrs. Norris!

You! You've murdered my cat!
I'll kill you! I'll --"
Dumbledore,Filch,Argus!
Dumbledore,Students,"Everyone will proceed to their
dormitories immediately."
Dumbledore,Harry,Everyone except you three.
Dumbledore,Ron,Everyone except you three.
Dumbledore,Hermione,Everyone except you three.
Gilderoy Lockhart,Dumbledore,"It was definitely a curse that
killed her -- probably the
Transmogrifian Torture.
Encountered it myself once, in
Ouagadougou. The full story's in
my autobiography..."
Dumbledore,Filch,"She's not dead, Argus. She's been
Petrified."
Gilderoy Lockhart,Dumbledore,"Precisely! So unlucky I wasn't
there. I know the very
countercurse that could have
spared her..."
Dumbledore,Filch,"But how she's been Petrified... I
cannot say."
Filch,Dumbledore,"Ask him! It's him that's done it.
You saw what he wrote on the wall!
Besides, he knows I'm -- I'm a
Squib."
Harry,Filch,"It's not true, sir! I swear! I
never touched Mrs. Norris -- And I
don't even know what a Squib is."
Filch,Dumbledore,"Rubbish! He saw my Kwikspell
letter!"
Snape,Dumbledore,"If I might, Headmaster..."
Snape,Dumbledore,"Perhaps Potter and his friends
were simply in the wrong place at
the wrong time..."
Snape,Dumbledore,"However, the circumstances are
suspicious. I, for one, don't
recall seeing Potter at dinner."
Gilderoy Lockhart,Snape,"I'm afraid that's my doing,
Severus. You see, Harry was
helping me answer my fan mail..."
Hermione,Gilderoy Lockhart,"That's why Ron and I went looking for him, Professor. We'd just
found him when Harry said..."
Snape,Hermione,"Yes, Miss Granger?"
Harry,Snape,"When I said I wasn't hungry. We
were heading back to the Common
Room and... found Mrs. Norris."
Dumbledore,Harry,Innocent until proven guilty.
Filch,Dumbledore,"My cat has been Petrified! I want
to see some punishment!"
Dumbledore,Filch,"We will be able to cure her,
Argus. As I understand it, Madam
Sprout has a very healthy growth
of Mandrakes. When they have
matured, a potion will be made
which will revive Mrs. Norris. In
the meantime, I advise caution.
To all."
Ron,Hermione,"A Squib's someone who's born into
a wizarding family but hasn't got
any powers of their own. It's why
Filch is trying to learn magic
from a Kwikspell course. It's
also why he hates students so
much. He's bitter."
Hermione,Harry,"Harry. This voice. You said you
heard it first in Lockhart's
office?"
Harry,Hermione,Yes.
Hermione,Harry,And did he hear it?
Harry,Hermione,He said he didn't.
Ron,Harry,Maybe he was lying.
Hermione,Ron,"I hardly think someone with
Gilderoy Lockhart's credentials
would lie to one of his students,
Ronald. Besides, if you recall,
we didn't hear anything either."
Harry,Hermione,"You do believe me, don't you?"
Hermione,Harry,"Course we do. It's just... it's
a bit weird, isn't it? You hear
this voice and then... Mrs. Norris
turns up Petrified."
Harry,Hermione,"I can't explain it -- it was...
scary.

D'you think I should've told them
-- Dumbledore and the others, I mean."
Ron,Harry,Are you mad!
Hermione,Harry,"No, Harry. Even in the wizarding
world, hearing voices isn't a good
sign."
Professor Mcgonagall,Students,"Today, we will be turning animals
into water goblets."
Professor Mcgonagall,Ron,"Now, who would like to go first...
Mr. Weasley?"
Professor Mcgonagall,Ron,"You must replace that wand, Mr.
Weasley."
Professor Mcgonagall,Hermione,"Yes, Miss Granger?"
Hermione,Professor Mcgonagall,"Professor, I was wondering if you
could tell us about the Chamber of
Secrets?"
Professor Mcgonagall,Hermione,"My subject is Transfiguration,
Miss Granger."
Hermione,Professor Mcgonagall,"Yes, Professor. But there seems
to be very little written about
the Chamber of Secrets. For those
of us with a personal interest in
the subject, that is...
disturbing."
Professor Mcgonagall,Hermione,"Very well. You all know, of
course, that Hogwarts was founded
over a thousand years ago by the
four greatest witches and wizards
of the age: Godric Gryffindor, Helga
Hufflepuff, Rowena Ravenclaw, and
Salazar Slytherin. Three of the
founders co-existed quite
harmoniously. One did not."
Ron,Professor Mcgonagall,Three glasses who?
Professor Mcgonagall,Ron,"Salazar Slytherin wished to be
more selective about the students
admitted to Hogwarts. He believed
that magical learning should be
kept within all-magic families.
In other words, purebloods.
Unable to sway the others, he
decided to leave the school.

According to legend, Slytherin had
built a hidden chamber in this
castle, known as the Chamber of
Secrets. Shortly before
departing, he sealed it until that
time when his own true heir
returned to the school. The heir
alone would be able to open the
Chamber of Secrets and unleash the
horror within, and by so doing,
purge the school of all those who,
in Slytherin's view, were unworthy
to study magic."
Hermione,Professor Mcgonagall,Muggle-borns.
Professor Mcgonagall,Hermione,"Yes. Naturally, the school has been
searched many times for such a
chamber. It has never been found."
Hermione,Professor Mcgonagall,"Professor, what exactly does
legend tell us lies within the
Chamber?"
Professor Mcgonagall,Hermione,"The Chamber is said to be home to
something which the heir of Slytherin
alone can control. It is said to be
home... to a monster."
Ron,Hermione,"D'you think it's true? D'you
think there really is a Chamber of
Secrets?"
Hermione,Ron,"Yes. Couldn't you tell:
McGonagall's worried. All the
teachers are."
Harry,Hermione,"But if there really is a Chamber
of Secrets, and it's really been
opened, that means..."
Hermione,Harry,"The Heir of Slytherin has returned
to Hogwarts. The question is, who
is it?"
Ron,Hermione,"Let's think. Who do we know who
thinks Muggle-borns are scum."
Hermione,Ron,If you're talking about him --
Ron,Hermione,"Of course! You heard him:
'You'll be next, Mudbloods'!"
Hermione,Ron,"I heard him. But Malfoy? The
Heir of Slytherin?"
Harry,Hermione,"Maybe Ron's right, Hermione. I
mean, look at his family. The
whole lot of them have been in
Slytherin for centuries."
Ron,Harry,"Crabbe and Goyle must know. Maybe
we could trick them into
telling..."
Hermione,Ron,"No. Even they aren't that thick.
But there might be another way.
Mind you, it would be difficult.
Not to mention we'd be breaking
about fifty school rules. And it
would be dangerous. Very
dangerous."
Ron,Hermione,When do we start?
Hermione,Ron,"Here it is: 'The Polyjuice
Potion. Properly brewed, the
Polyjuice Potion allows the
drinker to transform himself
temporarily into the physical form
of another...'"
Ron,Hermione,"You mean, Harry and I drink some
of this stuff and we turn into
Crabbe and Goyle?"
Hermione,Ron,Yes.
Ron,Hermione,Wicked! Malfoy'll tell us anything!
Hermione,Ron,"Exactly. But it's tricky. I've
never seen a more complicated
potion. Lacewing flies, leeches,
fluxweed. And, of course, we'll
need a bit of whoever we want to
change into too."
Ron,Hermione,"Hang on now. I'm drinking nothing
with Crabbe's toenails in it."
Harry,Ron,How long will it take to make?
Hermione,Harry,A month.
Harry,Hermione,"A month? But if Malfoy is the
heir of Slytherin... he could
attack half the Muggle-borns in
the school by then."
Hermione,Harry,You didn't have to tell me that.
Hagrid,Ron,"Gallopin' Gorgons! Slytherin's
flyin' like they got dragon fire
in their brooms..."
Draco,Harry,"All right there, Scarhead?"
George,Harry,HARRY! WATCH OUT!
Hagrid,Ron,"Blimey, Harry's got 'imself a
Rogue Bludger!"
Ron,Hagrid,Rogue Bludger?
Hagrid,Ron,"Look fer yerself! It's bin'
tampered with!"
Hermione,Hagrid,"You're joking, right? Besides,
even with a proper wand, it's too
risky. You could hit Harry."
Draco,Harry,"Training for the ballet, Potter?"
Hermione,Draco,Finite Incantatem!
Gilderoy Lockhart,Harry,"Not to worry, Harry. I'll fix
that arm of yours straight away."
Harry,Gilderoy Lockhart,No... no... not you.
Gilderoy Lockhart,Harry,"Poor boy doesn't know what he's
saying. This won't hurt a bit..."
Gilderoy Lockhart,Harry,"Ah. Yes. Well, that can
sometimes happen. The point is,
the bones are no longer broken."
Hagrid,Gilderoy Lockhart,"Brok'n? He doesn't 'ave any bones
at all!"
Madam Pomfrey,Hagrid,"He should have been brought
straight to me! I can mend bones
in a heartbeat -- but growing them
back --"
Hermione,Madam Pomfrey,"You will be able to, won't you?"
Madam Pomfrey,Hermione,"I'll be able to, certainly, but it
will be painful. You're in for a
rough night, Potter. Regrowing
bones is nasty business."
Madam Pomfrey,Hermione,"Well, what did you expect --
pumpkin juice?"
Colin,Harry,"That was brilliant today, Harry!
Brilliant!"
Madam Pomfrey,Students,"Out! All of you! This boy's got
thirty-three bones to regrow!"
Harry,Dobby,Dobby!
Dobby,Harry,"Harry Potter came back to school.
Dobby warned him. Harry Potter
should have listened to Dobby.
Harry Potter should have gone back
home when he missed the train."
Harry,Dobby,"It was you! You stopped the
barrier from letting Ron and me
through!"
Dobby,Harry,"Indeed yes, sir. Dobby hid and
watched for Harry Potter and
sealed the gateway."
Harry,Dobby,"You nearly got Ron and me
expelled!"
Dobby,Harry,"At least you would be away from
here. Harry Potter must go home!
Dobby thought his Bludger would be
enough to make Harry Potter see --"
Harry,Dobby,"Your Bludger? You made that
Bludger chase after me?"
Dobby,Harry,"Dobby feels most aggrieved, sir.

Dobby had to iron his hands..."
Harry,Dobby,"You'd better clear off before my
bones come back, Dobby, or I might
strangle you!"
Dobby,Harry,"Dobby is used to death threats,
sir. Dobby gets them five times a
day at home."
Harry,Dobby,"I don't suppose you could tell me
why you're trying to kill me?"
Dobby,Harry,"Not kill you, sir, never kill you!
Dobby remembers how it was before
Harry Potter triumphed over He Who
Must Not Be Named. We house elves
were treated like vermin, sir. Of
course, Dobby is still treated
like vermin..."
Harry,Dobby,"Why do you wear that thing, Dobby?"
Dobby,Harry,"This, sir? 'Tis a mark of the
house elf's enslavement. Dobby
can only be freed if his master
presents him with clothes. The
family is careful not to pass
Dobby so much as a sock, sir, for
then he would be free to leave
their house forever."
Dobby,Harry,"Terrible things are about to
happen at Hogwarts! Harry Potter
must not stay here now that
history is to repeat itself!"
Harry,Dobby,"Repeat itself? You mean, this has
happened before?"
Harry,Dobby,"Tell me, Dobby? When did this
happen before? Who's doing it
now?"
Dobby,Harry,"Dobby cannot say, sir. Dobby only
wants Harry Potter to be safe."
Harry,Dobby,"Who is it?
No, Dobby! Tell me!"
Madam Pomfrey,Dumbledore,What's happened?
Dumbledore,Madam Pomfrey,There's been another attack.
Professor Mcgonagall,Dumbledore,"Perhaps he managed to get a
picture of his attacker..."
Professor Mcgonagall,Dumbledore,"What does this mean, Albus?"
Dumbledore,Professor Mcgonagall,"It means our students are in great
danger, Minerva. Mr. Creevey was
fortunate. If not for this...
(holding up the camera)
He would surely be dead."
Professor Mcgonagall,Dumbledore,"What sould I tell the staff,
Albus?"
Dumbledore,Professor Mcgonagall,"Tell them the truth. Tell them
Hogwarts is no longer safe. Tell
them it's as we feared. The
Chamber of Secrets is indeed open
again."
Hermione,Professor Mcgonagall,"Again? You mean, the Chamber of
Secrets has been opened before?"
Ron,Hermione,"Of course! Don't you see? Lucius
Malfoy must've opened it when he
was at school here, and now he's
told Draco how to do it."
Hermione,Ron,"Maybe. We'll have to wait for the
Polyjuice Potion to know for sure."
Ron,Hermione,"Enlighten me. Why are we
brewing this potion in broad
daylight, in the middle of a
girls' lavatory? Don't you think
we'll get caught?"
Hermione,Ron,Never. No one over comes in here.
Ron,Hermione,Why?
Hermione,Ron,Moaning Myrtle.
Ron,Hermione,Who's Moaning Myrtle?
Moaning Myrtle,Ron,"I'm Moaning Myrtle. I wouldn't
expect you to know me. Who
would ever talk about fat, ugly,
miserable, moping, moaning
Myrtle?"
Hermione,Ron,She's a little sensitive.
Gilderoy Lockhart,Students,"Gather round! Gather round! Can
everyone see me? Can you all hear
me? Excellent. In light of the
dark events of recent weeks,
Professor Dumbledore has granted
me permission to start this little
Dueling Club, to train you all up
in case you ever need to defend
yourselves as I myself have done
on countless occasions -- for full
details, see my published works."
Justin Finch-Fletchley,Harry,"That Lockhart's something, isn't
he? Awfully brave chap.

Justin Finch-Fletchley.
Hufflepuff."
Harry,Justin Finch-Fletchley,Nice to meet you. I'm --
Justin Finch-Fletchley,Harry,"I know who you are. We all do.
Even us Muggle-borns."
Gilderoy Lockhart,Students,"Let me introduce my assistant
Professor Snape. He has
sportingly agreed to help me with
a short demonstration. Now I
don't want any of you youngsters
to worry. You'll still have your
Potions Master when I'm through
with him, never fear!"
Ron,Gilderoy Lockhart,What's the fun in that?
Gilderoy Lockhart,Ron,"As you can see, we are holding our
wands in the accepted combative
position. On the count of three,
we will cast our first spells.
Neither of us will be aiming to
kill, of course."
Harry,Gilderoy Lockhart,I wouldn't bet on that.
Gilderoy Lockhart,Students,One-two-three --
Snape,Gilderoy Lockhart,Expelliarmus!
Hermione,Harry,Do you think he's all right?
Hermione,Ron,Do you think he's all right?
Harry,Hermione,Who cares?
Ron,Hermione,Who cares?
Gilderoy Lockhart,Students,"Well, there you have it. That was
a Disarming Charm. As you see,
I've lost my wand."
Gilderoy Lockhart,Hermione,"Ah, thank you, Miss Granger. Yes,
an excellent idea to show them
that, Professor Snape, but if you
don't mind my saying so, it was
very obvious what you were about
to do. If I had wanted to stop
you it would have been only too
easy..."
Snape,Gilderoy Lockhart,"Perhaps it would be prudent to
first teach the students to block
unfriendly spells, Professor."
Gilderoy Lockhart,Snape,"An excellent suggestion, Professor
Snape. Let's have a volunteer
pair. Potter, Weasley, how about
you?"
Snape,Gilderoy Lockhart,"Weasley's wand causes devastation
with the simplest spells. We'll
be sending Potter to the hospital
wing in a matchbox. Might I
suggest someone from my own house.
Malfoy, perhaps."
Draco,Harry,"Scared, Potter?"
Harry,Draco,You wish.
Gilderoy Lockhart,Students,"Wands at the ready! When I count
to three, cast your charms to
disarm your opponent -- only to
disarm. We don't want any
accidents. One, two --"
Harry,Draco,Rictusempra!
Gilderoy Lockhart,Harry,I said disarm only!
Draco,Harry,Serpensortia!
Snape,Harry,"Don't move, Potter. I'll get rid
of it for you."
Gilderoy Lockhart,Snape,Allow me!
Harry,Gilderoy Lockhart,Leave him!
Harry,Gilderoy Lockhart,LEAVE HIM!
Justin Finch-Fletchley,Ron,What are you playing at?
Ron,Justin Finch-Fletchley,Come on. Move. Now.
Ron,Harry,"You're a Parselmouth! Why didn't
you tell us?"
Harry,Ron,I'm a what?
Hermione,Harry,You can talk to snakes.
Harry,Hermione,"I know. I mean, I accidentally
set a python on my cousin Dudley
at the zoo once. But so what? I
bet loads of people here can do
it."
Hermione,Harry,"No. They can't. It's not a very
common gift, Harry. This is bad."
Harry,Hermione,"What's bad? If I hadn't told that
snake not to attack Justin --"
Ron,Harry,"Oh, that's what you said to it."
Harry,Ron,You were there! You heard me!
Ron,Harry,"I heard you speaking Parseltongue.
Snake language."
Harry,Ron,"I spoke a different language? But
I didn't realize -- how can I
speak a language without knowing I
can?"
Hermione,Harry,"I don't know, Harry. But it
sounded like you were egging the
snake on or something. It was...
creepy."
Hermione,Harry,"Harry, listen out me. There's a
reason the symbol of Slytherin
house is a serpent. Salazar
Slytherin was a Parselmouth. He
could talk to snakes too."
Ron,Harry,"Exactly. And now the whole
school's going to think you're his
great-great-great grandson or
something."
Harry,Ron,But I'm not. I... can't be.
Hermione,Harry,"He lived a thousand years ago.
For all we know... you could be."
Harry,Hermione,"Who am I, Hedwig? What am I?"
Ernie,Hannah,"So, anyway, I told Justin to hide
up in our dormitory. I mean to
say, if Potter's marked him down
as his next victim, it's best he
keep a low profile for a while."
Hannah,Ernie,"But why would he want to attack
Justin?"
Ernie,Hannah,"Justin let it slip to Potter that
he was Muggle-born."
Hannah,Ernie,"And you definitely think Potter's
the Heir of Slytherin?"
Ernie,Hannah,"Hannah, he's a Parselmouth. Everyone knows that's the mark of a dark wizard. Have you ever heard of a decent one who could talk to snakes? They called Slytherin himself Serpent-tongue.  Remember what was written on the wall: Enemies of the Heir Beware. Potter had some sort of run-in with Filch. Next thing we know, Filch's cat's attacked. That first-year Creevey's been annoying Potter. Then Creevey's attacked."
Hannah,Ernie,"He always seems so nice, though. And, after all, he is the one who made You Know Who disappear."
Ernie,Hannah,That's probably why You Know Who wanted to kill him in the first place. Didn't want another Dark Lord competing with him.
Hagrid,Harry,"All righ', Harry?"
Harry,Hagrid,Hagrid... what're you doing here?
Hagrid,Harry,"Second one killed this term. 
Reckon it's either foxes or a 
Blood-Suckin' Bugbear. Need 
Dumbledore's permission ter put a 
charm round the hen-coop. Yeh 
sure yeh're all righ', Harry? Yeh 
look all hot an' bothered."
Harry,Hagrid,"It's nothing. I'd better get 
going. I've got a lot of 
studying..."
Harry,Professor Mcgonagall,"Professor, I swear I didn't"
Professor Mcgonagall,Filch,"This is out of my hands, Potter. 
Mr. Filch, will you take care of
this, please?"
Filch,Harry,"Caught in the act. I'll have you 
out this time, Potter. Mark my 
words… Dark magic. That's what you've 
got, Potter. Even the air you 
breathe comes out poison. You're 
evil. Evil as they come…"
Professor Mcgonagall,Harry,Sherbet lemon. Professor Dumbledore will be waiting for you.
Sorting Hat,Harry,"Bee in your bonnet, Potter?"
Harry,Sorting Hat,"Well, you see, I was wondering..."
Sorting Hat,Harry,"If I put you in the right house? 
Yes... you were particularly 
difficult to place. But I stand 
by what I said last year... You 
would have done well in Slytherin."
Harry,Sorting Hat,"You're wrong!
"
Harry,Dumbledore,"Professor, your bird... I couldn't 
do anything... He just caught 
fire."
Dumbledore,Harry,"About time too. He's been looking 
dreadful for days. Pity you had 
to see him on a Burning Day. He's 
really very handsome most of the 
time. Fawkes is a phoenix, Harry. 
Phoenixes burst into flame when it 
is time for them to die and are 
reborn from the ashes.Fascinating creatures, phoenixes. 
They can carry immensely heavy 
loads, their tears have healing 
powers, and they make highly 
faithful pets."
Hagrid,Dumbledore,"It wasn't Harry, Professor 
Dumbledore!"
Dumbledore,Hagrid,Hagrid --
Hagrid,Dumbledore,"I was talkin' ter 'im jus' before 
that kid was found. It can't've 
bin 'im!"
Dumbledore,Hagrid,Hagrid --
Hagrid,Dumbledore,"I'll swear ter it in front o' the 
Ministry o' Magic --"
Dumbledore,Hagrid,"HAGRID! I do not think that Harry
has attacked anyone."
Hagrid,Dumbledore,"Oh. Right. I'll wait outside 
then."
Harry,Dumbledore,"You don't think it was me, 
Professor?"
Dumbledore,Harry,"No, Harry. But I must ask you… 
is there anything you'd like to 
tell me. Anything at all?"
Harry,Dumbledore,"No, Professor. Nothing."
Fred,Harry,"Make way for the Heir of 
Slytherin! Seriously evil wizard 
coming through!"
Ron,Harry,"Oh, c'mon, Harry. Fred's just 
having a laugh."
Harry,Ron,He's the only one.
Ron,Harry,"Okay, so half the school thinks 
you're nipping off to the Chamber 
of Secrets every night. Who 
cares?"
Harry,Ron,Maybe they're right.
Hermione,Harry,Harry!
Harry,Hermione,"I didn't know I could speak 
Parseltongue. What else don't I 
know about myself? Maybe you can 
do something... even something 
horrible... and not know you did 
it."
Hermione,Harry,"You don't believe that, Harry, I 
know you don't. And if it makes 
you feel better, I just heard 
Malfoy's staying over for holiday, 
too."
Ron,Hermione,"Why would that make anyone feel 
better?"
Hermione,Ron,"Because, in a few days, the 
Polyjuice Potion's will be ready. 
In a few days... we may truly know 
who is the Heir of Slytherin.Everything's set. We just need a 
bit of who you're changing into."
Harry,Hermione,Crabbe and Goyle.
Hermione,Harry,"And we also need to make sure that 
the real Crabbe and Goyle can't 
burst in on us while we're 
interrogating Malfoy."
Ron,Hermione,How?
Hermione,Ron,"I've got it all worked out. I've 
filled these with a simple 
Sleeping Draught. Simple, but 
powerful. You know how greedy Crabbe and 
Goyle are. They won't leave the 
Christmas Feast until every last 
drop of trifle is gone. Now, once they're asleep, hide 
them in a broom cupboard and pull 
out a few of their hairs."
Ron,Hermione,And whose hair are you ripping out?
Hermione,Ron,"I've already got mine. Millicent Bulstrode. She's in 
Slytherin. I got this off her 
robes.All right then... I'm going to 
check on the Polyjuice Potion. Remember. Just make sure Crabbe 
and Goyle find these "
Ron,Hermione,"Have you ever heard of a plan 
where so many things could go 
wrong?"
Hermione,Ron,"Did you get it? I sneaked those out of the 
laundry. I'm sure I've done everything 
right. It looks like the book 
said it should. Once we've drunk 
it, we'll have exactly one hour 
before we change back into 
ourselves."
Ron,Hermione,Now what?
Hermione,Ron,"We separate it into three glasses 
and add the hairs."
Ron,Harry,Ugh. Essence of Crabbe…Think I'm gonna be sick…Harry?
Harry,Ron,Ron?
Ron,Harry,Bloody hell.
Harry,Ron,"We still sound like ourselves. 
You need to sound more like 
Crabbe."
Ron,Harry,Bloody hell.
Harry,Ron,Lower.
Ron,Harry,Bloody hell.
Harry,Ron,Less intelligent
Ron,Harry,Bloody hell.
Harry,Ron,Excellent.
Ron,Harry,Hey... Where's Hermione?
Hermione,Harry,"I -- I don't think I'm going. You 
go on without me."
Harry,Hermione,"Hermione, are you okay?"
Hermione,Harry,Just go! You're wasting time!
Ron,Harry,"Don't swing your arms like that. 
Crabbe holds them sort of stiff. Yeah. That's better. What are you doing here? What are you doing here?"
Percy,Ron,"I happen to be a prefect. You, on 
the other hand, have no business 
wandering the corridors at night. 
It's not safe these days. What're your names again?"
Draco,Ron,"Crabbe. Goyle. Where have you 
been? Pigging out in the Great 
Hall all this time?"
Draco,Percy,"And what are you doing down here, 
Weasley?"
Percy,Draco,"Mind your attitude, Malfoy. You 
want to show a little bit more 
respect to a school Prefect!"
Draco,Ron,"Come on, boys. Weasley thinks 
he's going to catch Slytherin's 
hair single-handed. Listen to this…"
Draco,Harry,"Arthur Weasley, Head of the 
Misuse of Muggle Artefacts Office, 
was today fined fifty Galleons for 
bewitching a Muggle car. ""Weasley 
has brought the Ministry into 
disrepute,"" said Lucius Malfoy, a 
governor of Hogwarts. ""He is 
clearly unfit to draw up our laws 
and his ridiculous Muggle 
Protection Act should be scrapped 
immediately. ""'Arthur Weasley loves Muggle so 
much he should snap his wand in 
half and go join them. You'd 
never know the Weasleys were 
purebloods, the way they behave. 
Embarrassment to the wizarding 
world. All of them. What's up with you, Crabbe?"
Ron,Draco,Stomachache.
Draco,Ron,"Well, go to the hospital wing 
and give all those Mudbloods a kick 
in the arse for me! You know, I'm 
surprised The Daily Prophet hasn't 
reported all these attacks yet. I 
suppose Dumbledore's trying to hush 
it all up. He'll be sacked if it 
doesn't stop soon. Father always 
said Dumbledore's the worst thing 
that's ever happened to this place."
Harry,Draco,You're wrong!
Draco,Harry,"What? Did you say that I was 
wrong? You think there's someone 
here who's worse than Dumbledore?"
Harry,Draco,Harry Potter.
Draco,Harry,"Good one, Goyle. You're 
absolutely right. Saint Potter. 
He's another one with no proper 
wizard feeling, or he wouldn't go 
around with that Mudblood Granger. 
And people actually think he's the 
Heir of Slytherin."
Harry,Draco,Then you must have some idea who's behind it all?
Draco,Harry,"You know I haven't, Goyle. How 
many times do I have to tell you? 
But my father did say this much: 
It's been fifty years since the 
Chamber was opened. He wouldn't 
tell me who opened it -- only that 
they were expelled -- but I know 
this: the last time the Chamber 
of Secrets was opened, a Mudblood 
died. So it's only a matter of time 
before one of them's killed this 
time. As for me... I hope it's 
Granger. What's the matter with you two? 
You're acting very... odd."
Ron,Harry,Ho!
Draco,Ron,Hey! Where are you going?
Ron,Harry,That was close!
Harry,Hermione,"Hermione, come out. We've got 
loads to tell you!"
Hermione,Harry,Go away!
Moaning Myrtle,Harry,"Ooh, wait till you see. It's 
awful!"
Hermione,Harry,"Do you remember me telling you the 
Polyjuice Potion was only for 
human transformations...? It was cat hair I plucked off 
Millicent Bulstrode's robes! Look 
at my face!It was cat hair I plucked off 
Millicent Bulstrode's robes! Look 
at my face!"
Ron,Hermione,Look at your tail.
Hermione,Ron,"Oh, good. Put those anywhere."
Ron,Hermione,"Madam Pince asked that we relay a 
message to you, Hermione:  She'd 
appreciate it if you'd leave a few 
books for the rest of the school."
Hermione,Ron,"I've got to keep up, haven't I?"
Ron,Hermione,Is that thing ever going away?
Hermione,Ron,"Any day now, according to Madam 
Pomfrey. I'm just thankful I've 
stopped coughing up fur balls."
Ron,Hermione,"We all are, believe me."
Hermione,Harry,"Now. What about the Chamber of 
Secrets? Any new leads?"
Harry,Hermione,Nothing.
Hermione,Harry,"And has it gotten any better? I 
mean... is anyone speaking to you?"
Harry,Hermione,"Neville asked to borrow a tubeworm 
in Potions yesterday. I suppose 
that's something."
Ron,Hermione,"To Miss Granger. Wishing you a 
speedy recovery, from your 
concerned teacher Gilderoy 
Lockhart.' You sleep with this 
under your pillow?"
Hermione,Ron,"Of course not. I don't know how 
that got there. Now go. I still 
have six hundred pages to read in 
Transformation Through the Ages."
Ron,Harry,"I know Hermione's mental, but can 
you believe she falls for that 
smarmy nonsense of Lockhart's?"
Harry,Ron,"Looks like Myrtle's flooded the 
bathroom."
Ron,Harry,Yuck
Moaning Myrtle,Harry,"Come to throw something else at 
me?"
Harry,Moaning Myrtle,"Why would I throw something at 
you?"
Moaning Myrtle,Harry,"Don't ask me. Here I am, minding 
my own business, and someone 
thinks it's funny to throw a book 
at me…"
Ron,Moaning Myrtle,"But it can't hurt if someone 
throws something at you. I mean, 
it'd just go right through you, 
wouldn't it?"
Moaning Myrtle,Ron,"Oh sure! Let's all throw books at 
Myrtle, because she can't feel it! 
Ten points if you can get it 
through her stomach. Fifty points 
if it goes through her head!"
Harry,Moaning Myrtle,Who threw it at you anyway?
Moaning Myrtle,Harry,"I don't know. I didn't see them. 
I was just sitting in the U-bend, 
thinking about death and it fell 
through the top of my head."
Ron,Harry,"Fifty points if you can get it 
through her nose."
Moaning Myrtle,Ron,I HEARD THAT!
Harry,Ron,This is a diary. And it's old…
Ron,Harry,"It's a diary, it's old... and was 
most recently in a toilet, Harry. Are you mad? That could be 
cursed. Dad once told me about a 
book the Ministry confiscated that 
burned the eyes out of anyone who 
tried to read it."
Harry,Ron,I'll take my chances...
Harry,Ginny,"Ahhh! MY EYES! MY EYES!Ginny! I was only joking -- 
Brilliant. Even your sister 
thinks I'm the monster now."
Ron,Harry,"Who doesn't? Tom Marvolo Riddle? Hang on. I 
know that name…Of course! The night I had 
detention... My job was to polish 
the silver in the trophy room. I 
remember because I kept burping 
slugs all over Tom Riddle's 
trophy. I must have wiped slime 
off his name for an hour."
Harry,Ron,That's odd. He never wrote in it.
Hermione,Harry,"Tom Riddle... Hm. And Ron said he 
won an award fifty years ago?"
Harry,Hermione,"Special Services to the School or 
something -- "
Hermione,Harry,Fifty years ago? You're sure?
Harry,Hermione,Yes. Why?
Hermione,Harry,"Don't you remember what Malfoy 
told you? The last time the 
Chamber of Secrets was opened 
was --"
Harry,Hermione,Fifty years ago! That means --
Hermione,Harry,"Tom Riddle was here, at Hogwarts,
when it happened. What if he 
wrote about what he saw? It's 
possible he knew where the Chamber 
was, how to open it, even what 
sort of creature lives in it. If 
so, whoever's behind the attacks 
this time wouldn't want a diary 
like this lying around, would 
they?"
Harry,Hermione,"That's a brilliant theory, 
Hermione. With just one tiny 
little flaw. There's nothing 
written in this diary."
Hermione,Harry,"It might be invisible ink. Aparecium! I don't know, Harry. But I think 
you should be careful with this. 
Something tells me Ron might be 
right. It could be dangerous."
Harry,Hermione,"You don't think I'm dangerous, do 
you, Hermione? I mean, you're not 
scared. Of me."
Hermione,Harry,"I'm scared, Harry. But not of 
you."
Harry,Tom Riddle,"Do... you... know... anything… 
about... the... Chamber... of… 
Secrets? Can... you... tell... me? Excuse me. Could you tell me 
where I am? Hello…"
Dumbledore,Tom Riddle,Riddle.
Tom Riddle,Dumbledore,Professor Dumbledore.
